ticker_name,exchange_name,exchange_token_balance (cryptocurrency),exchange_value (USD),one_day_change (cryptocurrency),seven_day_change (cryptocurrency),three_day_change (cryptocurrency)
SHIB,Bitfinex,1.0967E+11,1238176,-597933211,-1695366537,-3844727096
SHIB,Bitget,88593780767,1000223,3073905809,4987728824,13122667390
SHIB,MEXC Global,34966436327,394771,4835779131,772304357,-55339281238
SHIB,Exmo,34588888814,390508,-500000000,410008222,-218749397
SHIB,LATOKEN,34242040617,386592,0,221689238,-995730772
SHIB,Coinw,31478577730,355393,0,0,0
SHIB,ProBit Global,29907127451,337651,90000000,-113884223,-1295191432
SHIB,WhiteBIT,27761996668,313432,-47211928,345985680,-678016686
SHIB,Kuna,26608657319,300411,0,-1.00E-06,-1.00E-06
SHIB,AscendEX,20086335783,226774,42896321,-247546156,-37090613
SHIB,Bitrue,15985849673,180480,2233280542,-1.72153E+11,-1.62282E+11
SHIB,WazirX,7534678023,85066.51,-1863401746,-7501054522,-2405826798
SHIB,Bilaxy,5911665630,66742.7,0,1.00E-07,1.00E-07
SHIB,CEX.IO,3365985893,38001.98,-475990707,2486968362,1259293355
DAI,Binance,146213501,146374336,-3975676,-3746002,-70565375
DAI,Kraken,17646042,17665452,775483,6303842,3846140
DAI,OKX(OKEx),7875853,7884517,149210,-300344,-4775297
DAI,Crypto.com Exchange,6711646,6719028,10070.88,1631926,1939095
DAI,KuCoin,5484209,5490242,162390,84953.69,-628151
DAI,Coinbase Pro,3224731,3228278,-28384.6,24983.45,612901
DAI,Gemini,2161611,2163988,-295653,-181854,-2166432
DAI,Huobi Global,1660178,1662004,16410.61,66986.71,-124539441
DAI,Binance.US,1096921,1098127,217826,70049.42,-22225.39
DAI,Bitfinex,947269,948311,-71754.19,-59249.04,-320696
DAI,gate.io,908262,909261,-205988,472700,385246
DAI,MEXC Global,804573,805458,-9131.23,-77493.26,-188849
DAI,Bitget,585951,586596,5676.47,107993,-283377
DAI,Coinlist Pro,248864,249138,104000,104000,101438
DAI,AscendEX,240981,241246,0,-200,981
DAI,BitMEX,216800,217038,0,0,-152616
DAI,Poloniex,175629,175822,-519.13,-510.84,-9839.64
DAI,WhiteBIT,168536,168721,-39992.62,-2661.47,85931.67
DAI,Bybit,162182,162361,20190.89,-2182032,-6170139
DAI,Kuna,155239,155410,0,0,0
DAI,ProBit Global,117604,117733,33.3,33.3,33.3
DAI,Korbit,91861.88,91962.93,0,0,24000
DAI,Indodax,49590.52,49645.07,2886.56,-11841.81,5605.36
DAI,Coinone,44240.38,44289.04,0,1,-146.76
DAI,WOO X,35774.7,35814.05,0,0,0
DAI,CEX.IO,27546.04,27576.34,0,-1490,17883.4
DAI,Hotbit,12569.31,12583.13,0,0,-9942.33
DAI,Exmo,10539.19,10550.78,519.13,1419.13,1419.13
DAI,Bitrue,7376.73,7384.85,0,2462.48,-8763.13
DAI,Bibox,522.26,522.84,0,0,-247.27
AVAX,Binance,629346,11987913,-648.09,15695.14,58364.67
AVAX,gate.io,39.11,745,-1.263,-1.263,-2.139
AVAX,WOO X,10,190.48,0,0,0
TRX,Binance,175852081,11654772,0,0,0
UNI,Binance,26137137,164878288,128542,3208978,3162030
UNI,OKX(OKEx),8484344,53520943,-34224.73,-34156.32,383117
UNI,Kraken,2111022,13316748,0,-1.00E-10,-1.00E-10
UNI,Huobi Global,799377,5042634,134977,95529.96,-20231.13
UNI,Bitfinex,592033,3734668,13859.71,47373.55,27703.04
UNI,Bybit,566431,3573165,12811.28,78630.21,110535
UNI,gate.io,490831,3096265,5271.19,5908.71,-1500.49
UNI,Gemini,476606,3006531,39517.57,19724.42,27859.79
UNI,Coinbase Pro,397215,2505713,157949,89646.22,-25766.13
UNI,Crypto.com Exchange,282731,1783524,-1503.88,-6410.15,-398976
UNI,KuCoin,254725,1606857,-2710.75,2324.1,-4650.8
UNI,Binance.US,206799,1304533,3753.57,23746.44,-1975.76
UNI,Coinone,89488.92,564514,-3.828,-8.405,46371.78
UNI,Indodax,83882.56,529147,-453.11,47.05,428.46
UNI,CoinSwitch,82337.71,519402,0,0,-1632.72
UNI,Poloniex,79062.79,498743,0,383.7,115.91
UNI,Korbit,73902.6,466192,-4.481,-7.5,-7.5
UNI,Bitget,64991.37,409978,3568.32,11442.94,14909.46
UNI,CEX.IO,43744.28,275947,-1599,-3195.93,-830.94
UNI,Coinlist Pro,25568.34,161290,0,-17.35,-1243.44
UNI,MEXC Global,25524.21,161011,-1445.65,6570.61,9458.28
UNI,Kuna,17830.09,112475,0,0,0
UNI,AscendEX,17531.47,110592,-95.84,-235.35,-228.6
UNI,Bitrue,15203.09,95904.14,0,26.04,222.95
UNI,ProBit Global,7883.27,49729.24,0,0,0
UNI,LATOKEN,6187,39028.83,0,0,0
UNI,ZB,5701.47,35966.06,0,0,0
UNI,Hotbit,4070.08,25674.92,0,0,-88.08
UNI,HitBTC,3944.06,24879.92,0,0,0
UNI,WazirX,3122.04,19694.45,0,0,-1864.74
WBTC,Binance,2910.73,88788774,-359.75,-266.7,-1898.64
WBTC,gate.io,1823.83,55634032,-8.932,-8.232,-0.219
WBTC,Crypto.com Exchange,167.25,5101915,-4.742,27.85,-89.61
WBTC,Coinbase Pro,84.44,2575831,-20.29,-135.52,-79.37
WBTC,OKX(OKEx),77.76,2372158,-3.392,2.279,-2.396
WBTC,Bitfinex,68.87,2101013,-4.92,0.4645,-18.21
WBTC,Binance.US,22.88,698207,0.233,-0.1191,-3.334
WBTC,KuCoin,22.22,677835,-1.351,0.9629,-9.424
WBTC,Poloniex,22.05,672855,0.0009,0.04925,-1.026
WBTC,MEXC Global,14.85,453028,-0.9934,7.883,0.5217
WBTC,Bybit,8.93,272406,-1.362,-12.59,-9.216
WBTC,Bitget,7.514,229212,2.539,2.278,-2.716
WBTC,Huobi Global,3.489,106439,-0.02896,0.08695,0.1018
WBTC,Korbit,3.449,105208,0,0,0
WBTC,Bitrue,2.779,84765.65,0,2.157,2.738
WBTC,ProBit Global,2.711,82711.26,0,0,0
WBTC,Coinlist Pro,2.523,76971.6,0.154,1.759,1.849
WBTC,BTSE,1.791,54626.47,0,0,0
WBTC,CEX.IO,1.765,53837.58,0,0,0.6004
WBTC,Indodax,1.103,33644.83,0,0.01658,-0.01779
WBTC,BigONE,1.005,30661.04,0,0,0
WBTC,Coinone,0.7176,21890.09,0,-0.001969,-0.002069
