ticker_name,ticker_url,ticker_exchange_name,ticker_exchange_tokenbalance,ticker_exchange_value,ticker_exchange_selection1,ticker_exchange_sevendaychange,ticker_exchange_threedaychange
5 USDC,https://www.coincarp.com/currencies/usdc/,Bybit,"15,330,807 USDC","$15,317,009 ","-15,050,064 USDC","-13,592,571 USDC","-30,193,705 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,Okcoin,"9,152,359 USDC","$9,144,122 ","-143,731 USDC","-8,116,550 USDC","-4,958,801 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,Binance.US,"6,450,774 USDC","$6,444,968 ","+1,356,672 USDC","-4,883,210 USDC","-421,949 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,Gemini,"5,972,947 USDC","$5,967,571 ","-1,932,552 USDC","-3,348,026 USDC","-14,488,162 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,Coinlist Pro,"5,607,542 USDC","$5,602,495 ","-31,505.04 USDC","+1,628,505 USDC","-13,215,254 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,Poloniex,"4,289,316 USDC","$4,285,456 ","-60,448.22 USDC","-175,186 USDC","-1,567,927 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,Phemex,"3,326,581 USDC","$3,323,587 ",0 USDC,USDC,"-2,000,000 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,AscendEX,"1,542,205 USDC","$1,540,817 ","+17,869.46 USDC","+775,695 USDC","+23,847.67 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,Indodax,"1,148,884 USDC","$1,147,850 ","+12,629.56 USDC","+21,574.53 USDC","+50,299.47 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,CEX.IO,"993,838 USDC","$992,943 ","-573,761 USDC","-503,226 USDC","-3,437,290 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,WhiteBIT,"956,296 USDC","$955,436 ","+762,199 USDC","+839,963 USDC","+491,691 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,Kuna,"881,393 USDC","$880,600 ",0 USDC,USDC,USDC
5 USDC,https://www.coincarp.com/currencies/usdc/,Bitrue,"563,804 USDC","$563,296 ","-60,699.12 USDC","-541,865 USDC","+75,731.55 USDC"
