ticker_name,ticker_url,exchange_name,exchange_token_balance (cryptocurrency),exchange_value,selection1 (cryptocurrency),seven_day_change (cryptocurrency),three_day_change (cryptocurrency)
MATIC,https://www.coincarp.com/currencies/matictoken/,Binance.US,8823071.0,"$10,280,642 ",-219363.0,-282495.0,-5845728.0
MATIC,https://www.coincarp.com/currencies/matictoken/,OKX(OKEx),7952266.0,"$9,265,981 ",2668090.0,3982006.0,3956253.0
MATIC,https://www.coincarp.com/currencies/matictoken/,Bybit,6628255.0,"$7,723,243 ",373390.0,593482.0,-42686.62
MATIC,https://www.coincarp.com/currencies/matictoken/,Gemini,5187935.0,"$6,044,982 ",-96122.57,-477514.0,32579.53
MATIC,https://www.coincarp.com/currencies/matictoken/,CoinSwitch,5183509.0,"$6,039,824 ",0.0,1e-10,-98381.75
MATIC,https://www.coincarp.com/currencies/matictoken/,Kraken,5000059.0,"$5,826,068 ",0.0,-5e-10,-5e-10
MATIC,https://www.coincarp.com/currencies/matictoken/,Coinbase Pro,3039362.0,"$3,541,464 ",-1026257.0,-795210.0,489593.0
MATIC,https://www.coincarp.com/currencies/matictoken/,gate.io,2531412.0,"$2,949,601 ",321452.0,483596.0,-676969.0
MATIC,https://www.coincarp.com/currencies/matictoken/,Huobi Global,2438308.0,"$2,841,117 ",-162044.0,-310825.0,-1099500.0
MATIC,https://www.coincarp.com/currencies/matictoken/,bitFlyer,2187842.0,"$2,549,273 ",-21767.0,34735.0,225721.0
MATIC,https://www.coincarp.com/currencies/matictoken/,Poloniex,1830496.0,"$2,132,894 ",-945.05,-28784.04,-15671.97
MATIC,https://www.coincarp.com/currencies/matictoken/,Indodax,1533673.0,"$1,787,036 ",-45215.7,-15745.76,200899.0
MATIC,https://www.coincarp.com/currencies/matictoken/,MEXC Global,1235191.0,"$1,439,245 ",-372468.0,-315795.0,-96322.44
MATIC,https://www.coincarp.com/currencies/matictoken/,Hotbit,567627.0,"$661,400 ",0.0,0.0,-534.5
MATIC,https://www.coincarp.com/currencies/matictoken/,Coinlist Pro,369340.0,"$430,355 ",-266.46,-2975.89,77997.02
MATIC,https://www.coincarp.com/currencies/matictoken/,ProBit Global,266187.0,"$310,161 ",0.0,0.0,21.47
